file_name,file_upload_date,db_content_type,exiftool_mime_type,type_mismatch,type_major_mismatch,media_file,media_entry,file_store_path
8_1884_adler.psd,2013-06-17T10:39:43.986Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/12c1a05b-6b12-4adb-b589-42c8635073d9,https://medienarchiv.zhdk.ch/entries/866da947-075b-49cf-91ed-fc27226bbdc0,3/3e15458d838041caace81995aa068d65
11_1247_Unbenannt-2.psd,2013-06-17T10:44:36.886Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/51330b3b-4a3a-4722-bbf1-0f53e6356c83,https://medienarchiv.zhdk.ch/entries/6b8bc281-7350-46c7-b600-3e5bba7d3079,d/dd4238ead6ab4a6aad1475c3b008a118
11_1254_Unbenannt-5.psd,2013-06-17T10:44:42.440Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/b0ea058c-a3b1-4e3c-9816-fdc55ae6c075,https://medienarchiv.zhdk.ch/entries/144c9c52-ce5d-44fb-b41d-375d04f32a10,a/a90a1a2a26684d54ab8841bac40ccc1e
11_1255_Unbenannt-6.psd,2013-06-17T10:44:47.586Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/5081036f-6e64-4f4f-8fa6-3b35595b3753,https://medienarchiv.zhdk.ch/entries/28a69f4c-0ac0-48db-8be3-4b9f17f135ad,4/41cc7cdca294446faee4373555363ded
11_1436_komposit.psd,2013-06-17T10:44:58.171Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/8c24faba-b3a2-4399-90cd-efe49520ced0,https://medienarchiv.zhdk.ch/entries/42d98447-f894-46ec-93e2-10ae0d42c891,8/8c3d75eb668847a089ea69e8e5caa20c
11_846_Athen gruben s175 abb136.psd,2013-06-17T10:47:27.927Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/4510fa2b-fe50-4062-b437-6dc0d5a520fc,https://medienarchiv.zhdk.ch/entries/bdd4473f-e117-4ac7-99b4-6c3e07ee7681,6/6f6c2d58c2944762ad105f8e7adeb2c6
8_2862_dorisch_kapitell_gebälk2_kl.psd,2013-06-17T10:54:34.553Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/bba26387-4e53-41d0-bbf4-938338488e08,https://medienarchiv.zhdk.ch/entries/32aba9dc-7a8e-4367-965d-22b9af90cf65,b/b0f6ef665b2444d2a4a0bb13ed7d35aa
8_2915_vergleich_ionisch.psd,2013-06-17T10:58:17.286Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/9ac119f8-ce7e-4e61-abc3-20faaa4b7c22,https://medienarchiv.zhdk.ch/entries/d16578be-1bdd-401b-a54e-9358e3b4d90a,6/63cfe7be84384c2ebc33c9057dd60ba2
8_2919_dorisch_kapitell_gebälk2_kl.psd,2013-06-17T10:58:40.990Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/12ee87a3-6ab9-4c3a-830c-498f4a365eca,https://medienarchiv.zhdk.ch/entries/346ccf9d-023a-4c3e-a538-59d6e8b8358f,7/7742dfd5e1fb4a85a248ab3e86abab90
8_2929_ionisch_gesamt.psd,2013-06-17T10:59:24.045Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/81e09fea-a714-456a-912c-ebb41fbc3684,https://medienarchiv.zhdk.ch/entries/3c30a910-bba5-4a64-abfb-5d635563c4ca,7/7ba21966ad6e495fbef0de371d51c214
8_2930_ionisch_kapitell_gebälk.psd,2013-06-17T10:59:34.420Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/abd4efca-c984-4ab0-b839-61c2cb412049,https://medienarchiv.zhdk.ch/entries/f3838d59-b3ce-44d3-a0fc-a5a021f17fa9,f/fbe52854791b42c5ba6a2d1342a12ffb
8_2936_ionisch_volute.psd,2013-06-17T11:00:06.312Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/7d97c4be-618e-418a-a719-dff8dd67a482,https://medienarchiv.zhdk.ch/entries/fae0dd9b-1146-4929-b269-d1ba1c650847,d/d5e728dca0254d87a5481fc687bcbb22
8_2937_säulenordnung_chitham.psd,2013-06-17T11:00:17.424Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/a1a489d8-858e-4593-a0df-7ad34326bc65,https://medienarchiv.zhdk.ch/entries/540bbfc4-9079-4fca-84e6-c13106c1ef6b,d/d64cafafb60547358abc37db7290b24f
8_2941_dorisch_basis.psd,2013-06-17T11:00:44.983Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/6fb71472-04dc-4a34-9218-d6d8ddd58202,https://medienarchiv.zhdk.ch/entries/6d16a98f-82d8-4ec6-b39f-225aa4f4c918,2/2a300cba002148639819898e0211cce4
